Semana del semestre;Dia de la semana;Software;Cantidad Estimada;Cantidad Total;Probabilidad;;;;;
1;jueves;Classroom;1;6;0.16666666666666666;;;;;
1;jueves;Drive;1;6;0.16666666666666666;;;;;
1;jueves;Excel;1;6;0.16666666666666666;;;;;
1;jueves;Ninguno;0;6;0.0;;;;;
1;jueves;Python;2;6;0.3333333333333333;;;;;
1;jueves;Zoom;1;6;0.16666666666666666;;;;;
1;lunes;Moodle;1;2;0.5;;;;;
1;lunes;Ninguno;0;2;0.0;;;;;
1;lunes;Nvivo;1;2;0.5;;;;;
1;martes;Excel;1;2;0.5;;;;;
1;martes;Ninguno;0;2;0.0;;;;;
1;martes;Zoom y Meet;1;2;0.5;;;;;
1;miércoles;Cesim Global Challenge;1;6;0.16666666666666666;;;;;
1;miércoles;Drive;1;6;0.16666666666666666;;;;;
1;miércoles;Edición página web FCE;1;6;0.16666666666666666;;;;;
1;miércoles;Google Classroom;1;6;0.16666666666666666;;;;;
1;miércoles;Google Meet;1;6;0.16666666666666666;;;;;
1;miércoles;Ninguno;0;6;0.0;;;;;
1;miércoles;Nvivo;1;6;0.16666666666666666;;;;;
1;sábado;Ninguno;0;0;;;;;;
1;viernes;Moodle;1;1;1.0;;;;;
1;viernes;Ninguno;0;1;0.0;;;;;
2;jueves;Excel;1;2;0.5;;;;;
2;jueves;Ninguno;0;2;0.0;;;;;
2;jueves;SIIGO;1;2;0.5;;;;;
2;lunes;Excel;2;2;1.0;;;;;
2;lunes;Ninguno;0;2;0.0;;;;;
2;martes;Excel;1;2;0.5;;;;;
2;martes;Ninguno;0;2;0.0;;;;;
2;martes;Referenciación;1;2;0.5;;;;;
2;miércoles;Excel;1;4;0.25;;;;;
2;miércoles;Google Classroom;1;4;0.25;;;;;
2;miércoles;Google Meet;1;4;0.25;;;;;
2;miércoles;Moodle;1;4;0.25;;;;;
2;miércoles;Ninguno;0;4;0.0;;;;;
2;sábado;Ninguno;0;1;0.0;;;;;
2;sábado;R;1;1;1.0;;;;;
2;viernes;Moodle;1;2;0.5;;;;;
2;viernes;Ninguno;0;2;0.0;;;;;
2;viernes;SIIGO;1;2;0.5;;;;;
3;jueves;Ninguno;0;0;;;;;;
3;lunes;Excel;1;8;0.125;;;;;
3;lunes;Facebook;1;8;0.125;;;;;
3;lunes;Google Meet;1;8;0.125;;;;;
3;lunes;Moodle;1;8;0.125;;;;;
3;lunes;Ninguno;0;8;0.0;;;;;
3;lunes;R;3;8;0.375;;;;;
3;lunes;Youtube Live;1;8;0.125;;;;;
3;martes;Excel;2;3;0.6666666666666666;;;;;
3;martes;Google Meet;1;3;0.3333333333333333;;;;;
3;martes;Ninguno;0;3;0.0;;;;;
3;miércoles;Cesim Global Challenge;1;7;0.14285714285714285;;;;;
3;miércoles;Moodle;1;7;0.14285714285714285;;;;;
3;miércoles;Ninguno;0;7;0.0;;;;;
3;miércoles;Nvivo;1;7;0.14285714285714285;;;;;
3;miércoles;Python;1;7;0.14285714285714285;;;;;
3;miércoles;R;2;7;0.2857142857142857;;;;;
3;miércoles;SPSS;1;7;0.14285714285714285;;;;;
3;sábado;Ninguno;0;1;0.0;;;;;
3;sábado;World Office;1;1;1.0;;;;;
3;viernes;Ninguno;0;0;;;;;;
4;jueves;Excel;1;5;0.2;;;;;
4;jueves;Microsoft Project;1;5;0.2;;;;;
4;jueves;Ninguno;0;5;0.0;;;;;
4;jueves;SAP;2;5;0.4;;;;;
4;jueves;VPN;1;5;0.2;;;;;
4;lunes;Excel;1;7;0.14285714285714285;;;;;
4;lunes;G Suite;1;7;0.14285714285714285;;;;;
4;lunes;Google Classroom;1;7;0.14285714285714285;;;;;
4;lunes;Moodle;1;7;0.14285714285714285;;;;;
4;lunes;Ninguno;0;7;0.0;;;;;
4;lunes;R;1;7;0.14285714285714285;;;;;
4;lunes;SPSS;2;7;0.2857142857142857;;;;;
4;martes;Excel;1;6;0.16666666666666666;;;;;
4;martes;Google Classroom;1;6;0.16666666666666666;;;;;
4;martes;Microsoft Project;2;6;0.3333333333333333;;;;;
4;martes;Ninguno;0;6;0.0;;;;;
4;martes;Odoo;1;6;0.16666666666666666;;;;;
4;martes;SAP;1;6;0.16666666666666666;;;;;
4;miércoles;Cesim Global Challenge;1;8;0.125;;;;;
4;miércoles;HR Management;2;8;0.25;;;;;
4;miércoles;Moodle;1;8;0.125;;;;;
4;miércoles;Ninguno;0;8;0.0;;;;;
4;miércoles;R;2;8;0.25;;;;;
4;miércoles;SAP;1;8;0.125;;;;;
4;miércoles;Zoom, Big Blue Button & Google Meets;1;8;0.125;;;;;
4;sábado;Moodle;1;3;0.3333333333333333;;;;;
4;sábado;Ninguno;0;3;0.0;;;;;
4;sábado;R;1;3;0.3333333333333333;;;;;
4;sábado;World Office;1;3;0.3333333333333333;;;;;
4;viernes;Excel;1;5;0.2;;;;;
4;viernes;Ninguno;0;5;0.0;;;;;
4;viernes;SAP;3;5;0.6;;;;;
4;viernes;Zoom, Big Blue Button & Google Meets;1;5;0.2;;;;;
5;jueves;Acess;2;2;1.0;;;;;
5;jueves;Ninguno;0;2;0.0;;;;;
5;lunes;Excel;1;4;0.25;;;;;
5;lunes;Ninguno;0;4;0.0;;;;;
5;lunes;R;2;4;0.5;;;;;
5;lunes;SPSS;1;4;0.25;;;;;
5;martes;Google Meet;1;2;0.5;;;;;
5;martes;Latex;1;2;0.5;;;;;
5;martes;Ninguno;0;2;0.0;;;;;
5;miércoles;Excel;1;5;0.2;;;;;
5;miércoles;Google Classroom;1;5;0.2;;;;;
5;miércoles;Ninguno;0;5;0.0;;;;;
5;miércoles;Python;1;5;0.2;;;;;
5;miércoles;R;1;5;0.2;;;;;
5;miércoles;Zoom, Big Blue Button & Google Meets;1;5;0.2;;;;;
5;sábado;Google Classroom;1;4;0.25;;;;;
5;sábado;Microsoft Project;1;4;0.25;;;;;
5;sábado;Ninguno;0;4;0.0;;;;;
5;sábado;Nvivo;1;4;0.25;;;;;
5;sábado;World Office;1;4;0.25;;;;;
5;viernes;Ninguno;0;2;0.0;;;;;
5;viernes;Odoo;1;2;0.5;;;;;
5;viernes;SAP;1;2;0.5;;;;;
6;jueves;Moodle;1;3;0.3333333333333333;;;;;
6;jueves;Ninguno;0;3;0.0;;;;;
6;jueves;SAP;1;3;0.3333333333333333;;;;;
6;jueves;SPSS;1;3;0.3333333333333333;;;;;
6;lunes;Cesim Hospitality;1;7;0.14285714285714285;;;;;
6;lunes;Microsoft Project;2;7;0.2857142857142857;;;;;
6;lunes;Ninguno;0;7;0.0;;;;;
6;lunes;Nvivo;2;7;0.2857142857142857;;;;;
6;lunes;R;1;7;0.14285714285714285;;;;;
6;lunes;SPSS;1;7;0.14285714285714285;;;;;
6;martes;Acess;2;6;0.3333333333333333;;;;;
6;martes;Excel;1;6;0.16666666666666666;;;;;
6;martes;Microsoft Project;1;6;0.16666666666666666;;;;;
6;martes;Ninguno;0;6;0.0;;;;;
6;martes;Odoo;1;6;0.16666666666666666;;;;;
6;martes;Trello;1;6;0.16666666666666666;;;;;
6;miércoles;Excel;1;3;0.3333333333333333;;;;;
6;miércoles;Ninguno;0;3;0.0;;;;;
6;miércoles;Python;1;3;0.3333333333333333;;;;;
6;miércoles;R;1;3;0.3333333333333333;;;;;
6;sábado;Ninguno;0;3;0.0;;;;;
6;sábado;R;1;3;0.3333333333333333;;;;;
6;sábado;World Office;1;3;0.3333333333333333;;;;;
6;sábado;Z-tree;1;3;0.3333333333333333;;;;;
6;viernes;Moodle;1;4;0.25;;;;;
6;viernes;Ninguno;0;4;0.0;;;;;
6;viernes;Odoo;1;4;0.25;;;;;
6;viernes;SAP;2;4;0.5;;;;;
7;jueves;Herramientas Bibliográficas;2;11;0.18181818181818182;;;;;
7;jueves;Microsoft Project;2;11;0.18181818181818182;;;;;
7;jueves;Ms Project;2;11;0.18181818181818182;;;;;
7;jueves;Ninguno;0;11;0.0;;;;;
7;jueves;Nvivo;1;11;0.09090909090909091;;;;;
7;jueves;Odoo;1;11;0.09090909090909091;;;;;
7;jueves;SAP;2;11;0.18181818181818182;;;;;
7;jueves;Z-tree;1;11;0.09090909090909091;;;;;
7;lunes;Cesim Marketing;1;8;0.125;;;;;
7;lunes;Herramientas Bibliográficas;1;8;0.125;;;;;
7;lunes;Ninguno;0;8;0.0;;;;;
7;lunes;Nvivo;2;8;0.25;;;;;
7;lunes;R;1;8;0.125;;;;;
