Fecha,Dia de la semana,Semestre,Semana del semestre,Respuesta
2017-01-30,1,1,1,0
2017-01-31,2,1,1,0
2017-02-01,3,1,1,0
2017-02-02,4,1,1,0
2017-02-03,5,1,1,0
2017-02-04,6,1,1,0
2017-02-06,1,1,2,0
2017-02-07,2,1,2,0
2017-02-08,3,1,2,0
2017-02-09,4,1,2,0
2017-02-10,5,1,2,0
2017-02-11,6,1,2,0
2017-02-13,1,1,3,1
2017-02-14,2,1,3,0
2017-02-15,3,1,3,0
2017-02-16,4,1,3,0
2017-02-17,5,1,3,0
2017-02-18,6,1,3,0
2017-02-20,1,1,4,1
2017-02-21,2,1,4,0
2017-02-22,3,1,4,0
2017-02-23,4,1,4,0
2017-02-24,5,1,4,0
2017-02-25,6,1,4,0
2017-02-27,1,1,5,1
2017-02-28,2,1,5,0
2017-03-01,3,1,5,0
2017-03-02,4,1,5,0
2017-03-03,5,1,5,0
2017-03-04,6,1,5,0
2017-03-06,1,1,6,0
2017-03-07,2,1,6,0
2017-03-08,3,1,6,0
2017-03-09,4,1,6,0
2017-03-10,5,1,6,0
2017-03-11,6,1,6,0
2017-03-13,1,1,7,1
2017-03-14,2,1,7,0
2017-03-15,3,1,7,1
2017-03-16,4,1,7,0
2017-03-17,5,1,7,0
2017-03-18,6,1,7,0
2017-03-20,1,1,8,0
2017-03-21,2,1,8,0
2017-03-22,3,1,8,1
2017-03-23,4,1,8,0
2017-03-24,5,1,8,0
2017-03-25,6,1,8,0
2017-03-27,1,1,9,1
2017-03-28,2,1,9,0
2017-03-29,3,1,9,0
2017-03-30,4,1,9,0
2017-03-31,5,1,9,0
2017-04-01,6,1,9,0
2017-04-03,1,1,10,0
2017-04-04,2,1,10,0
2017-04-05,3,1,10,0
2017-04-06,4,1,10,1
2017-04-07,5,1,10,1
2017-04-08,6,1,10,0
2017-04-10,1,1,10,0
2017-04-11,2,1,10,0
2017-04-17,1,1,11,0
2017-04-18,2,1,11,1
2017-04-19,3,1,11,0
2017-04-20,4,1,11,1
2017-04-21,5,1,11,0
2017-04-22,6,1,11,0
2017-04-24,1,1,12,0
2017-04-25,2,1,12,1
2017-04-26,3,1,12,0
2017-04-27,4,1,12,1
2017-04-28,5,1,12,0
